Id,Label,timeset,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
"아프다",아프다,,198,11098,0,1,1,1,76.061593
"자위",자위,,196,5578,0,2,0.99,0.994949,58.752625
"학생",학생,,195,5080,0,2,0.985075,0.992424,57.982103
"포경",포경,,183,4196,1,2,0.929577,0.962121,43.496011
"소변",소변,,185,3844,0,2,0.938389,0.967172,44.586683
"고환",고환,,175,3092,2,2,0.895928,0.941919,37.714358
"생기다",생기다,,193,3712,0,2,0.975369,0.987374,66.524474
"느낌",느낌,,192,4558,0,2,0.970588,0.984848,51.685953
"귀두",귀두,,180,3696,1,2,0.916667,0.954545,43.669898
"처럼",처럼,,192,4100,0,2,0.970588,0.984848,66.03743
"쪽",쪽,,194,4652,0,2,0.980198,0.989899,69.169161
"통증",통증,,193,3992,0,2,0.975369,0.987374,53.987077
"건가",건가,,190,3468,2,2,0.961165,0.979798,52.416713
"그런",그런,,189,3486,0,2,0.956522,0.977273,50.245545
"만지다",만지다,,187,3622,2,2,0.947368,0.972222,47.371561
"인지",인지,,189,2768,0,2,0.956522,0.977273,50.840495
"걸리다",걸리다,,188,3328,0,2,0.951923,0.974747,48.715322
"오줌",오줌,,178,2632,0,2,0.908257,0.949495,37.939923
"손",손,,193,2880,1,2,0.975369,0.987374,53.984661
"무슨",무슨,,192,3494,0,2,0.970588,0.984848,54.721651
"평소",평소,,186,2674,1,2,0.942857,0.969697,45.500224
"잘",잘,,190,2866,2,2,0.961165,0.979798,54.259543
"치료",치료,,187,2756,0,2,0.947368,0.972222,60.663824
"약간",약간,,185,2972,2,2,0.938389,0.967172,47.51745
"정상",정상,,190,3196,2,2,0.961165,0.979798,53.332054
"뭔가",뭔가,,185,2816,0,2,0.938389,0.967172,44.063505
"아",아,,190,3280,2,2,0.961165,0.979798,67.698191
"왼쪽",왼쪽,,166,2462,2,2,0.86087,0.919192,33.019986
"지다",지다,,181,2380,1,2,0.92093,0.957071,42.28195
"자주",자주,,180,2808,0,2,0.916667,0.954545,39.631232
"니까",니까,,189,3056,2,2,0.956522,0.977273,52.310371
"보이다",보이다,,180,2544,1,2,0.916667,0.954545,41.817423
"마다",마다,,191,2776,0,2,0.965854,0.982323,51.909482
"냄새",냄새,,173,1806,0,2,0.887892,0.936869,32.170426
"가끔",가끔,,179,2334,0,2,0.912442,0.95202,39.30803
"씻다",씻다,,177,2608,1,2,0.90411,0.94697,38.055095
"살짝",살짝,,179,2332,1,2,0.912442,0.95202,42.287757
"잇다",잇다,,176,1710,0,2,0.9,0.944444,38.596665
"야하다",야하다,,179,2100,2,2,0.912442,0.95202,41.475981
"기다",기다,,184,2414,2,2,0.933962,0.964646,47.650456
"자연",자연,,173,1902,1,2,0.887892,0.936869,38.199871
"해도",해도,,181,2358,0,2,0.92093,0.957071,44.749686
"오른쪽",오른쪽,,170,2378,2,2,0.876106,0.929293,34.596819
"데",데,,171,1892,2,2,0.88,0.931818,37.949157
"간지럽다",간지럽다,,151,1494,0,2,0.808163,0.881313,19.490575
"최근",최근,,178,1978,0,2,0.908257,0.949495,38.543027
"경우",경우,,185,2052,0,2,0.938389,0.967172,47.941119
"보",보,,187,2632,2,2,0.947368,0.972222,51.062108
"병",병,,179,2014,0,2,0.912442,0.95202,52.848421
"생식기",생식기,,152,1366,0,2,0.811475,0.883838,20.514779
"이라고",이라고,,185,2452,2,2,0.938389,0.967172,45.395522
"물",물,,177,1986,0,2,0.90411,0.94697,35.759027
"팬티",팬티,,160,1598,0,2,0.838983,0.90404,25.829451
"염",염,,177,2476,2,2,0.90411,0.94697,40.117152
"불편하다",불편하다,,179,1862,0,2,0.912442,0.95202,43.736476
"비뇨기",비뇨기,,186,2540,0,2,0.942857,0.969697,47.606906
"꼭",꼭,,164,1320,1,2,0.853448,0.914141,29.939634
"밑",밑,,178,2134,0,2,0.908257,0.949495,37.191278
"예전",예전,,181,2030,0,2,0.92093,0.957071,45.441763
"땐",땐,,158,1272,1,2,0.831933,0.89899,25.184555
"누르다",누르다,,169,1856,2,2,0.872247,0.926768,34.474559
"화장실",화장실,,155,1492,0,2,0.821577,0.891414,22.931118
"따갑다",따갑다,,169,1862,0,2,0.872247,0.926768,30.74941
"달다",달다,,173,1766,0,2,0.887892,0.936869,35.210541
"요도",요도,,161,1444,0,2,0.842553,0.906566,26.68588
"성병",성병,,157,1498,0,2,0.828452,0.896465,22.35963
"비슷하다",비슷하다,,170,1230,0,2,0.876106,0.929293,32.762181
"아직도",아직도,,170,1464,0,2,0.876106,0.929293,35.409498
"찾아보다",찾아보다,,172,1570,0,2,0.883929,0.934343,48.866564
"방광염",방광염,,101,674,0,2,0.671186,0.755051,5.230325
"귀",귀,,166,1930,1,2,0.86087,0.919192,29.97657
"사진",사진,,163,1182,0,2,0.849785,0.911616,28.392575
"신경",신경,,168,1672,0,2,0.868421,0.924242,32.636973
(?),(?),,165,1324,1,2,0.857143,0.916667,42.5989
"전혀",전혀,,163,1252,0,2,0.849785,0.911616,29.421544
"간",간,,165,1484,0,2,0.857143,0.916667,28.745007
"잠",잠,,139,1102,0,2,0.770428,0.85101,16.544872
"인거",인거,,161,1502,2,2,0.842553,0.906566,30.490244
"인터넷",인터넷,,175,1970,2,2,0.895928,0.941919,38.225874
"오래",오래,,160,1214,0,2,0.838983,0.90404,26.995343
"빨갛다",빨갛다,,148,1198,0,2,0.798387,0.873737,17.300722
"느껴지다",느껴지다,,162,1436,0,2,0.846154,0.909091,29.335694
"샤워",샤워,,153,1086,1,2,0.814815,0.886364,24.995019
"별로",별로,,155,1480,2,2,0.821577,0.891414,27.626069
"부위",부위,,164,1518,0,2,0.853448,0.914141,27.470867
"긁다",긁다,,133,924,0,2,0.752852,0.835859,11.81746
2~3,2~3,,151,1222,0,2,0.808163,0.881313,20.584682
"튀어나오다",튀어나오다,,135,814,0,2,0.758621,0.840909,18.346398
"소음순",소음순,,105,580,0,2,0.680412,0.765152,7.171566
"검색",검색,,160,1244,0,2,0.838983,0.90404,26.211054
"해오다",해오다,,136,1260,0,2,0.761538,0.843434,17.926271
"유두",유두,,101,510,0,2,0.671186,0.755051,6.508596
"곧",곧,,149,1098,0,2,0.801619,0.876263,23.410754
"부다",부다,,148,982,0,2,0.798387,0.873737,20.933397
"되게",되게,,154,1238,0,2,0.818182,0.888889,22.07776
"피부",피부,,159,920,1,2,0.835443,0.901515,25.565898
"지면",지면,,140,1014,1,2,0.773438,0.853535,18.219847
"혹",혹,,133,638,0,2,0.752852,0.835859,15.370704
"볼때",볼때,,159,1490,0,2,0.835443,0.901515,24.247461
"로는",로는,,147,1168,0,2,0.795181,0.871212,20.536382
"늘어나다",늘어나다,,132,792,0,2,0.75,0.833333,14.994505
"여드름",여드름,,121,666,0,2,0.72,0.805556,10.152207
"잡히다",잡히다,,108,1002,2,2,0.6875,0.772727,10.517259
"없어지다",없어지다,,156,832,0,2,0.825,0.893939,24.161466
"덮다",덮다,,145,1358,1,2,0.788845,0.866162,20.513774
"짧다",짧다,,129,988,2,2,0.741573,0.825758,14.295719
"거리",거리,,146,908,0,2,0.792,0.868687,21.981683
"구멍",구멍,,128,708,1,2,0.738806,0.823232,14.229042
"딱하다",딱하다,,157,946,0,2,0.828452,0.896465,25.874072
"지는",지는,,142,954,0,2,0.779528,0.858586,17.765779
"이건",이건,,159,910,0,2,0.835443,0.901515,28.512483
"에서는",에서는,,153,1238,0,2,0.814815,0.886364,24.094526
"지장",지장,,136,1088,2,2,0.761538,0.843434,29.270097
"벗겨지다",벗겨지다,,115,854,1,2,0.704626,0.790404,10.70087
"네",네,,132,1118,2,2,0.75,0.833333,15.872979
"염증",염증,,158,1078,0,2,0.831933,0.89899,24.897048
"지만",지만,,162,1380,0,2,0.846154,0.909091,23.093013
"아래",아래,,153,976,0,2,0.814815,0.886364,25.621364
"쓰이다",쓰이다,,144,1028,0,2,0.785714,0.863636,21.431603
"딱딱하다",딱딱하다,,132,760,0,2,0.75,0.833333,13.901591
"노란색",노란색,,147,932,0,2,0.795181,0.871212,30.813568
"낫다",낫다,,156,1304,0,2,0.825,0.893939,23.674281
"닿다",닿다,,144,1014,1,2,0.785714,0.863636,18.657171
"짜다",짜다,,149,834,0,2,0.801619,0.876263,21.102429
"증",증,,106,548,0,2,0.682759,0.767677,7.718388
"가만히",가만히,,139,894,0,2,0.770428,0.85101,17.320798
"문",문,,124,1110,2,2,0.727941,0.813131,16.759027
"꽤",꽤,,150,792,0,2,0.804878,0.878788,24.287275
"력",력,,120,616,0,2,0.717391,0.80303,11.048307
"나아지다",나아지다,,148,1198,0,2,0.798387,0.873737,19.212832
"실",실,,83,822,2,2,0.632588,0.709596,6.840598
"별",별,,137,758,0,2,0.764479,0.84596,13.901685
"땡기다",땡기다,,147,1058,0,2,0.795181,0.871212,24.966686
"곤",곤,,114,808,0,2,0.702128,0.787879,7.195242
"사라지다",사라지다,,149,1118,0,2,0.801619,0.876263,20.226234
"돌아오다",돌아오다,,115,730,1,2,0.704626,0.790404,10.515283
"지내다",지내다,,135,1020,0,2,0.758621,0.840909,11.648402
"입구",입구,,127,632,0,2,0.736059,0.820707,12.908828
"보이",보이,,133,684,1,2,0.752852,0.835859,15.439726
"제거",제거,,118,812,0,2,0.71223,0.79798,10.169848
30,30,,117,510,1,2,0.709677,0.795455,10.809312
"오르다",오르다,,149,1204,0,2,0.801619,0.876263,18.475066
"워",워,,113,600,0,2,0.699647,0.785354,7.259012
"완전하다",완전하다,,133,774,1,2,0.752852,0.835859,15.178166
"색깔",색깔,,128,632,0,2,0.738806,0.823232,19.236614
"억지로",억지로,,98,540,1,2,0.66443,0.747475,7.252864
"낳다",낳다,,115,844,2,2,0.704626,0.790404,19.552946
"위쪽",위쪽,,115,802,2,2,0.704626,0.790404,12.453018
"안다",안다,,100,750,2,2,0.668919,0.752525,7.391715
"하얗다",하얗다,,114,496,1,2,0.702128,0.787879,8.164947
"고통",고통,,139,646,1,2,0.770428,0.85101,17.994058
"항문",항문,,120,612,0,2,0.717391,0.80303,10.255649
"깔다",깔다,,105,586,1,2,0.680412,0.765152,9.314578
"평상시",평상시,,112,488,1,2,0.697183,0.782828,12.350102
"양쪽",양쪽,,129,602,0,2,0.741573,0.825758,15.330358
?..,?..,,88,426,0,2,0.642857,0.722222,4.862021
"현상",현상,,127,576,0,2,0.736059,0.820707,14.119591
"바르다",바르다,,133,606,0,2,0.752852,0.835859,16.14385
"애기",애기,,120,950,2,2,0.717391,0.80303,15.770011
"예민하다",예민하다,,131,702,0,2,0.74717,0.830808,12.611892
"모두",모두,,126,828,0,2,0.733333,0.818182,12.367274
"젖다",젖다,,113,582,0,2,0.699647,0.785354,10.83089
"굉장하다",굉장하다,,132,578,0,2,0.75,0.833333,13.714822
"반복",반복,,109,446,0,2,0.689895,0.775253,6.975131
"본적",본적,,125,530,0,2,0.730627,0.815657,12.785884
"나요",나요,,98,362,0,2,0.66443,0.747475,5.707912
"붕대",붕대,,102,692,0,2,0.673469,0.757576,6.268212
"부어",부어,,132,734,0,2,0.75,0.833333,13.173322
"한쪽",한쪽,,98,476,0,2,0.66443,0.747475,5.507343
"액체",액체,,103,446,0,2,0.675768,0.760101,14.598452
"꼴",꼴,,102,738,0,2,0.673469,0.757576,5.184084
"모양",모양,,111,486,1,2,0.694737,0.780303,17.534342
"잔뇨감",잔뇨감,,127,980,0,2,0.736059,0.820707,11.708673
"당기다",당기다,,91,432,1,2,0.64918,0.729798,5.528485
"일상생활",일상생활,,127,600,0,2,0.736059,0.820707,14.217388
"관리",관리,,110,476,1,2,0.692308,0.777778,10.385142
?(,?(,,107,590,2,2,0.685121,0.770202,10.983685
"재발",재발,,111,564,0,2,0.694737,0.780303,9.438294
"항생제",항생제,,117,544,0,2,0.709677,0.795455,9.212392
"윗",윗,,116,526,1,2,0.707143,0.792929,10.039408
"다해",다해,,114,884,2,2,0.702128,0.787879,11.721994
"흐르다",흐르다,,108,438,0,2,0.6875,0.772727,7.241349
"멀다",멀다,,106,530,2,2,0.682759,0.767677,11.337212
"이대로",이대로,,88,660,2,2,0.642857,0.722222,5.88329
"포경수술",포경수술,,173,3098,1,2,0.887892,0.936869,36.945846
"껍질",껍질,,153,1682,1,2,0.814815,0.886364,25.924194
"표피",표피,,150,1406,1,2,0.804878,0.878788,22.747056
"포피",포피,,113,916,1,2,0.699647,0.785354,12.179303
"정맥",정맥,,93,1178,2,2,0.653465,0.734848,4.35991
"벗기다",벗기다,,132,914,1,2,0.75,0.833333,12.948075
"류",류,,101,1214,2,2,0.671186,0.755051,6.879309
"정계",정계,,87,1130,2,2,0.640777,0.719697,3.607605
"전립선염",전립선염,,126,788,0,2,0.733333,0.818182,13.259874
"지름",지름,,113,812,0,2,0.699647,0.785354,7.049732
"진성",진성,,70,432,1,2,0.607362,0.676768,3.657836
"마취",마취,,88,614,0,2,0.642857,0.722222,3.941624
"전립선",전립선,,113,728,0,2,0.699647,0.785354,8.929346
"세제",세제,,15,90,0,2,0.519685,0.537879,0
"부고환",부고환,,94,1016,2,2,0.655629,0.737374,7.497437
